price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Quarter 4-2022;138.5;-11.5;-7.67;146.34;-12.15;-7.67;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 1-2023;152.0;-9.0;-5.59;160.6;-9.51;-5.59;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 2-2023;147.0;-5.0;-3.29;155.32;-5.28;-3.29;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 3-2023;154.45;3.9;2.59;163.19;4.12;2.59;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 4-2023;158.46;3.9;2.52;167.43;4.12;2.52;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 1-2024;109.24;1.0;0.92;115.42;1.05;0.92;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 2-2024;91.05;1.0;1.11;96.2;1.05;1.1;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2023;153.0;-1.5;-0.97;161.66;-1.59;-0.97;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2024;102.0;1.0;0.99;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2025;73.0;1.0;1.39;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2026;58.0;-1.0;-1.69;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2027;50.5;-1.0;-1.94;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2028;46.8;-1.0;-2.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2029;45.8;-1.0;-2.14;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2030;45.45;-1.0;-2.15;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2031;45.3;-1.0;-2.16;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Year 2032;45.15;-1.0;-2.17;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
